place_id,name,is_spending_on_ads,reviews,can_claim,emails,phones,linkedin,twitter,facebook,youtube,instagram,main_category,categories,rating,address,link
ChIJubky0UOZTDARKbyLTXHfVcU,Ohana Kitchen,FALSE,7,FALSE,,,,,,,,Restaurant,Restaurant,3.6,"GERAI NO, Ohana Kitchen, 3, Jalan Lencongan Dua, Pusat Bandar Kangar, 01000 Kangar, Perlis",https://www.google.com/maps/place/Ohana+Kitchen/data=!4m7!3m6!1s0x304c9943d132b9b9:0xc555df714d8bbc29!8m2!3d6.440297!4d100.1960031!16s%2Fg%2F11n92wymgx!19sChIJubky0UOZTDARKbyLTXHfVcU?authuser=0&hl=en&rclk=1
ChIJO5AXCoGbTDARbwhtQrE_p1c,Restaurant,FALSE,7,TRUE,,,,,,,,Restaurant,Restaurant,3.9,"Restaurant, Pekan Kuala Perlis, 02000 Kuala Perlis, Perlis",https://www.google.com/maps/place/Restaurant/data=!4m7!3m6!1s0x304c9b810a17903b:0x57a73fb1426d086f!8m2!3d6.3962915!4d100.1283945!16s%2Fg%2F12qfc_74n!19sChIJO5AXCoGbTDARbwhtQrE_p1c?authuser=0&hl=en&rclk=1
ChIJb8qdlU6ZTDARRIz5eVTDLHs,Adam Bistro Western Kangar,FALSE,6,FALSE,,,,,,,,Restaurant,Restaurant,3.7,"Adam Bistro Western Kangar, Jalan Kampung Baru, Kampung Baharu, 01000 Kangar, Perlis",https://www.google.com/maps/place/Adam+Bistro+Western+Kangar/data=!4m7!3m6!1s0x304c994e959dca6f:0x7b2cc35479f98c44!8m2!3d6.4543089!4d100.2064664!16s%2Fg%2F11swmc4zmd!19sChIJb8qdlU6ZTDARRIz5eVTDLHs?authuser=0&hl=en&rclk=1
ChIJp07_Ly2ZTDARnLRXasKdcSQ,Kak Som Corner ( Malay Thai Cuisine ),FALSE,6,TRUE,,,,,,,,Thai restaurant,Thai restaurant,4.7,"Kak Som Corner ( Malay Thai Cuisine ), 28, Jalan Raja Syed Saffi, Kampung Bintong, 01000 Kangar, Perlis",https://www.google.com/maps/place/Kak+Som+Corner+%28+Malay+Thai+Cuisine+%29/data=!4m7!3m6!1s0x304c992d2fff4ea7:0x24719dc26a57b49c!8m2!3d6.4405708!4d100.1799703!16s%2Fg%2F11s2ppfl9x!19sChIJp07_Ly2ZTDARnLRXasKdcSQ?authuser=0&hl=en&rclk=1
ChIJHQPTZ-mZTDARLFQSKzNvye0,Restoran Khun Thai - Thailand Cuisine,FALSE,6,TRUE,,,,,,,,Thai restaurant,Thai restaurant,4.2,"Restoran Khun Thai - Thailand Cuisine, PT5152, Jalan Raja Syed Alwi, Kampung Padang Bakau, 01000 Kangar, Perlis",https://www.google.com/maps/place/Restoran+Khun+Thai+-+Thailand+Cuisine/data=!4m7!3m6!1s0x304c99e967d3031d:0xedc96f332b12542c!8m2!3d6.4340437!4d100.1966565!16s%2Fg%2F11v9_s04nb!19sChIJHQPTZ-mZTDARLFQSKzNvye0?authuser=0&hl=en&rclk=1
ChIJ7bSOLMm9TDARhfeMUCvupVI,Warung Tepi Bendang,FALSE,6,TRUE,,,,,,,,Asian restaurant,Asian restaurant,3.5,"F7QC+WJ Warung Tepi Bendang, 02500 Kangar, Perlis",https://www.google.com/maps/place/Warung+Tepi+Bendang/data=!4m7!3m6!1s0x304cbdc92c8eb4ed:0x52a5ee2b508cf785!8m2!3d6.4891649!4d100.2726041!16s%2Fg%2F11rv5cvq5d!19sChIJ7bSOLMm9TDARhfeMUCvupVI?authuser=0&hl=en&rclk=1
ChIJ4ZSoWQSbTDARB4E4zfYMpck,Bahagia cafe 2,FALSE,5,TRUE,,,,,,,,Restaurant,Restaurant,4.4,"Bahagia cafe 2, 21, 263, Pekan Kuala Perlis, 02000 Kuala Perlis, Perlis",https://www.google.com/maps/place/Bahagia+cafe+2/data=!4m7!3m6!1s0x304c9b0459a894e1:0xc9a50cf6cd388107!8m2!3d6.3963223!4d100.133313!16s%2Fg%2F11n63jfjfq!19sChIJ4ZSoWQSbTDARB4E4zfYMpck?authuser=0&hl=en&rclk=1
ChIJ9bf-jISZTDARjZ5cMBqqCY4,Mr Western & Malay Food,FALSE,5,FALSE,,,,,,,,Western restaurant,Western restaurant,3.8,"C52G+F8 Mr Western & Malay Food, 02000 Kuala Perlis, Perlis",https://www.google.com/maps/place/Mr+Western+%26+Malay+Food/data=!4m7!3m6!1s0x304c99848cfeb7f5:0x8e09aa1a305c9e8d!8m2!3d6.4012573!4d100.1757807!16s%2Fg%2F11t5wvbv4w!19sChIJ9bf-jISZTDARjZ5cMBqqCY4?authuser=0&hl=en&rclk=1
ChIJ6Qj8O_qZTDARqlA4bud30UU,Ton's Kitchen,FALSE,5,FALSE,,,,,,,,Restaurant,"Restaurant, Western restaurant",2.8,"Ton's Kitchen, Lot 139 C, Kg Tanjung Buluh, 01000 Kangar, Perlis",https://www.google.com/maps/place/Ton%27s+Kitchen/data=!4m7!3m6!1s0x304c99fa3bfc08e9:0x45d177e76e3850aa!8m2!3d6.4020554!4d100.1772481!16s%2Fg%2F11lkjr14zx!19sChIJ6Qj8O_qZTDARqlA4bud30UU?authuser=0&hl=en&rclk=1
ChIJZ7jjy7KbTDARlV_2S1oVu54,"BRIYANI AJUN( ANEKA ROTI, WESTERN, NASI SET )",FALSE,3,FALSE,,,,,,,,Family restaurant,Family restaurant,5,"BRIYANI AJUN( ANEKA ROTI, WESTERN, NASI SET ), 11, Kampung Telok, 02000 Kuala Perlis, Perlis","https://www.google.com/maps/place/BRIYANI+AJUN%28+ANEKA+ROTI,+WESTERN,+NASI+SET+%29/data=!4m7!3m6!1s0x304c9bb2cbe3b867:0x9ebb155a4bf65f95!8m2!3d6.393195!4d100.1566666!16s%2Fg%2F11kc61lhyf!19sChIJZ7jjy7KbTDARlV_2S1oVu54?authuser=0&hl=en&rclk=1"
